Experiment #,Timestamp,temperature,pressure,acid,residence_time,Measurement,Yield,Source
1,Reused,23.475368708182256,5.446560560661099,0.2032480376333868,110.47486511924926,1.850577713333333,1.850577713333333,Reused:TFDM 5#0
2,Reused,25.43894726710837,2.6772629840649342,0.3117388952818952,221.62435137090523,1.32,1.32,Reused:TFDM 5#1
3,Reused,30.354273882463826,4.413815585996291,0.3741877433108552,249.3709992414612,1.18,1.18,Reused:TFDM 5#2
4,Reused,31.603165054578685,4.777292393507917,0.2920762238310613,144.98034588173513,1.28,1.28,Reused:TFDM 5#3
5,Reused,38.65858381863784,2.031908628052088,0.2686190538976954,81.00795306006748,1.53,1.53,Reused:TFDM 5#4
6,Reused,40.14049259087218,5.985349012197451,0.3797367839771072,188.64984311790727,1.14,1.14,Reused:TFDM 5#5
7,Reused,42.980426122533295,3.879043870042687,0.2342614926508717,294.14293072490403,1.66,1.66,Reused:TFDM 5#6
8,Reused,49.19774114478858,3.3158321995610325,0.3331456339534538,174.96779404185602,1.28,1.28,Reused:TFDM 5#7
9,Reused,50.0,2.0,0.2,60.0,1.66,1.66,Reused:TFDM 5#8
10,Reused,50.0,6.0,0.2,60.0,1.683679102356,1.683679102356,Reused:TFDM 5#9
11,Reused,20.0,3.5001360485399085,0.2,300.0,1.7766497265960002,1.7766497265960002,Reused:TFDM 5#10
12,2025-10-29 10:34:22,20.0,4.0,0.2,60.0,1.9994775060646663,1.9994775060646663,
13,2025-10-29 10:38:51,20.0,2.8722827959902104,0.2,60.0,1.8641068622647332,1.8641068622647332,
14,2025-10-29 10:43:21,20.0,4.0,0.22307431353927892,60.0,1.7948016278064667,1.7948016278064667,
15,2025-10-29 10:59:45,20.36694568577167,3.4537487450491913,0.20232682382065437,298.00602437509104,1.80393648,1.80393648,
